;Glucose 5%;Glucose 10%;Glucose 12,5 %;Glucose 15%;Glucose 17,5%;Glucose 20%;Glucose 25%;Glucose 30%;Glucose 40%;Glucose 50%;Glucose 7,5% + NaCl 0,225%;Glucose 2,5% + NaCl 0,45%;NaCl 0,9%
Glucose 5%;x;;;;;;;;;;;;
Glucose 10%;;x;;;;;;;;;;;
Glucose 12,5 %;;;x;;;;;;;;;;
Glucose 15%;;;;x;;;;;;;;;
Glucose 17,5%;;;;;x;;;;;;;;
Glucose 20%;;;;;;x;;;;;;;
Glucose 25%;;;;;;;x;;;;;;
Glucose 30%;;;;;;;;x;;;;;
Glucose 40%;;;;;;;;;x;;;;
Glucose 50%;;;;;;;;;;x;;;
Glucose 7,5% + NaCl 0,225%;;;;;;;;;;;x;;
Glucose 2,5% + NaCl 0,45%;;;;;;;;;;;;x;
NaCl 0,9%;;;;;;;;;;;;;x
